Well name,NS degrees,EW degrees
8/10-4 S,57° 3' 53.8'' N,3° 2' 43.6'' E
6305/7-1,63° 21' 47.6'' N,5° 15' 43.73'' E
34/8-13 A,61° 24' 15.8'' N,2° 34' 52'' E
2/7-19 R,56° 20' 19.1'' N,3° 6' 12.2'' E
34/8-7,61° 19' 9.07'' N,2° 33' 32.15'' E
31/2-18 A,60° 54' 10.49'' N,3° 34' 41.79'' E
34/10-14,61° 14' 0.5'' N,2° 15' 18.87'' E
31/2-12,60° 50' 5.4'' N,3° 30' 48.47'' E
7/12-4 R,57° 5' 36.66'' N,2° 51' 36.96'' E
7120/1-3,71° 54' 10.37'' N,20° 16' 10.85'' E
9/3-2,57° 49' 25.79'' N,4° 42' 39.64'' E
31/2-4 R2,60° 51' 23.57'' N,3° 30' 44.33'' E
24/9-14 S,59° 21' 51.91'' N,1° 46' 52.29'' E
6407/12-3,64° 14' 17.73'' N,7° 48' 54.34'' E
25/4-12 A,59° 30' 39.22'' N,2° 4' 27.28'' E
25/1-2,59° 56' 8'' N,2° 4' 54.6'' E
35/11-7,61° 1' 59.74'' N,3° 35' 26.23'' E
7228/9-1 S,72° 23' 48.36'' N,28° 43' 8.67'' E
25/2-16 S,59° 45' 7.67'' N,2° 24' 33.1'' E
6407/9-2,64° 24' 1.31'' N,7° 48' 11.26'' E
34/10-39 S,61° 12' 44.79'' N,2° 1' 32.11'' E
25/1-5,59° 52' 27.92'' N,2° 6' 36.99'' E
2/1-8,56° 53' 40.63'' N,3° 6' 55.95'' E
34/8-1,61° 21' 53.5'' N,2° 25' 57.57'' E
35/3-7 S,61° 50' 7.24'' N,3° 49' 31.83'' E
7122/7-5 A,71° 16' 24.7'' N,22° 16' 40.43'' E
1/9-4 R,56° 29' 3.76'' N,2° 56' 0.29'' E
1/9-1 R,56° 24' 5.07'' N,2° 54' 6.49'' E
7/11-3,57° 2' 58.8'' N,2° 28' 18.8'' E
34/7-29 SR,61° 21' 51.69'' N,2° 2' 23.37'' E
30/6-12,60° 33' 15.59'' N,2° 49' 23.31'' E
33/9-21 A,61° 23' 48.26'' N,1° 44' 27.25'' E
34/3-4 S,61° 48' 7.42'' N,2° 52' 5.97'' E
15/8-1,58° 21' 48.1'' N,1° 34' 22.31'' E
7121/5-1,71° 35' 54.88'' N,21° 24' 21.78'' E
6507/7-12,65° 26' 46.16'' N,7° 18' 17.82'' E
31/6-8,60° 33' 21.36'' N,3° 40' 39.07'' E
6706/11-2,67° 3' 56.97'' N,6° 32' 57.4'' E
6406/2-5 A,64° 55' 53.83'' N,6° 26' 58.65'' E
34/10-52 S,61° 4' 16.1'' N,2° 11' 31.33'' E
7123/4-1 S,71° 36' 49.3'' N,23° 3' 48.7'' E
30/8-1 A,60° 27' 46.93'' N,2° 38' 6.53'' E
35/11-22 S,61° 5' 2.27'' N,3° 20' 56.92'' E
6407/7-4,64° 15' 43.43'' N,7° 13' 25.84'' E
7219/12-3 S,72° 12' 3.51'' N,19° 43' 2.12'' E
31/3-2,60° 52' 11.41'' N,3° 40' 41.79'' E
7220/11-3,72° 1' 12.62'' N,20° 31' 41.23'' E
