Well,TopDepth,BottomDepth,Formation,NS degrees,EW degrees
1/2-1,94,1777,nordland group,56° 53' 15.07'' N,2° 28' 35.7'' E
1/2-1,1777,3059,hordaland group,56° 53' 15.07'' N,2° 28' 35.7'' E
1/2-1,3059,3407,rogaland group,56° 53' 15.07'' N,2° 28' 35.7'' E
1/2-1,3059,3121,balder formation,56° 53' 15.07'' N,2° 28' 35.7'' E
1/2-1,3121,3275,forties formation,56° 53' 15.07'' N,2° 28' 35.7'' E
1/2-1,3275,3335,lista formation,56° 53' 15.07'' N,2° 28' 35.7'' E
1/2-1,3335,3407,maureen formation,56° 53' 15.07'' N,2° 28' 35.7'' E
1/2-1,3407,3514,ekofisk formation,56° 53' 15.07'' N,2° 28' 35.7'' E
1/2-1,3407,3574,shetland group,56° 53' 15.07'' N,2° 28' 35.7'' E
1/2-1,3514,3574,tor formation,56° 53' 15.07'' N,2° 28' 35.7'' E
1/2-2,114,1675,nordland group,56° 59' 32'' N,2° 29' 47.66'' E
1/2-2,1675,3077,hordaland group,56° 59' 32'' N,2° 29' 47.66'' E
1/2-2,3077,3418,rogaland group,56° 59' 32'' N,2° 29' 47.66'' E
1/2-2,3077,3094,balder formation,56° 59' 32'' N,2° 29' 47.66'' E
1/2-2,3094,3135,sele formation,56° 59' 32'' N,2° 29' 47.66'' E
1/2-2,3135,3296,forties formation,56° 59' 32'' N,2° 29' 47.66'' E
1/2-2,3296,3368,lista formation,56° 59' 32'' N,2° 29' 47.66'' E
1/2-2,3368,3418,maureen formation,56° 59' 32'' N,2° 29' 47.66'' E
1/2-2,3418,3434,ekofisk formation,56° 59' 32'' N,2° 29' 47.66'' E
1/2-2,3418,3434,shetland group,56° 59' 32'' N,2° 29' 47.66'' E
1/3-1,97,2995,nordland group,56° 51' 21'' N,2° 51' 5'' E
1/3-1,2995,3258,rogaland group,56° 51' 21'' N,2° 51' 5'' E
1/3-1,2995,3006,balder formation,56° 51' 21'' N,2° 51' 5'' E
1/3-1,3006,3013,sele formation,56° 51' 21'' N,2° 51' 5'' E
1/3-1,3013,3095,lista formation,56° 51' 21'' N,2° 51' 5'' E
1/3-1,3095,3147,vidar formation,56° 51' 21'' N,2° 51' 5'' E
1/3-1,3147,3209,lista formation,56° 51' 21'' N,2° 51' 5'' E
1/3-1,3209,3258,våle formation,56° 51' 21'' N,2° 51' 5'' E
1/3-1,3258,4441,shetland group,56° 51' 21'' N,2° 51' 5'' E
1/3-1,3258,3354,ekofisk formation,56° 51' 21'' N,2° 51' 5'' E
1/3-1,3354,3828,tor formation,56° 51' 21'' N,2° 51' 5'' E
1/3-1,3828,4343,hod formation,56° 51' 21'' N,2° 51' 5'' E
1/3-1,4343,4371,blodøks formation,56° 51' 21'' N,2° 51' 5'' E
1/3-1,4371,4441,hidra formation,56° 51' 21'' N,2° 51' 5'' E
1/3-1,4441,4671,cromer knoll group,56° 51' 21'' N,2° 51' 5'' E
1/3-1,4441,4482,rødby formation,56° 51' 21'' N,2° 51' 5'' E
1/3-1,4482,4671,sola formation,56° 51' 21'' N,2° 51' 5'' E
1/3-1,4671,4877,zechstein group,56° 51' 21'' N,2° 51' 5'' E
1/3-2,98,1533,nordland group,56° 56' 10'' N,2° 45' 0'' E
1/3-2,1533,2964,hordaland group,56° 56' 10'' N,2° 45' 0'' E
1/3-2,2964,3207,rogaland group,56° 56' 10'' N,2° 45' 0'' E
1/3-2,2964,2978,balder formation,56° 56' 10'' N,2° 45' 0'' E
1/3-2,2978,3067,sele formation,56° 56' 10'' N,2° 45' 0'' E
1/3-2,3067,3136,lista formation,56° 56' 10'' N,2° 45' 0'' E
1/3-2,3136,3207,våle formation,56° 56' 10'' N,2° 45' 0'' E
1/3-2,3207,4131,shetland group,56° 56' 10'' N,2° 45' 0'' E
1/3-2,3207,3270,ekofisk formation,56° 56' 10'' N,2° 45' 0'' E
1/3-2,3270,3729,tor formation,56° 56' 10'' N,2° 45' 0'' E
1/3-2,3729,4024,hod formation,56° 56' 10'' N,2° 45' 0'' E
1/3-2,4024,4060,blodøks formation,56° 56' 10'' N,2° 45' 0'' E
1/3-2,4060,4131,hidra formation,56° 56' 10'' N,2° 45' 0'' E
1/3-2,4131,4297,cromer knoll group,56° 56' 10'' N,2° 45' 0'' E
1/3-2,4131,4229,rødby formation,56° 56' 10'' N,2° 45' 0'' E
1/3-2,4229,4297,sola formation,56° 56' 10'' N,2° 45' 0'' E
1/3-3,93,1647,nordland group,56° 57' 8.56'' N,2° 58' 54.05'' E
1/3-3,1647,2936,hordaland group,56° 57' 8.56'' N,2° 58' 54.05'' E
1/3-3,2936,2984,balder formation,56° 57' 8.56'' N,2° 58' 54.05'' E
1/3-3,2936,3201,rogaland group,56° 57' 8.56'' N,2° 58' 54.05'' E
1/3-3,2984,2991,sele formation,56° 57' 8.56'' N,2° 58' 54.05'' E
1/3-3,2991,3059,lista formation,56° 57' 8.56'' N,2° 58' 54.05'' E
1/3-3,3059,3148,vidar formation,56° 57' 8.56'' N,2° 58' 54.05'' E
1/3-3,3148,3180,lista formation,56° 57' 8.56'' N,2° 58' 54.05'' E
1/3-3,3180,3201,våle formation,56° 57' 8.56'' N,2° 58' 54.05'' E
1/3-3,3201,3887,shetland group,56° 57' 8.56'' N,2° 58' 54.05'' E
1/3-3,3201,3288,ekofisk formation,56° 57' 8.56'' N,2° 58' 54.05'' E
1/3-3,3288,3803,tor formation,56° 57' 8.56'' N,2° 58' 54.05'' E
1/3-3,3803,3852,hod formation,56° 57' 8.56'' N,2° 58' 54.05'' E
1/3-3,3852,3887,blodøks formation,56° 57' 8.56'' N,2° 58' 54.05'' E
1/3-3,3887,4043,rødby formation,56° 57' 8.56'' N,2° 58' 54.05'' E
1/3-3,3887,4043,cromer knoll group,56° 57' 8.56'' N,2° 58' 54.05'' E
